News_Org,Created_Dt,Text,Compound,Positive,Neutral,Negative,Tweet_Count
BBCWorld,2018-09-28 18:23:58+00:00,"Brett Kavanaugh, Trump court nominee, clears first hurdle https://t.co/kpgxGaIht2",0.0772,0.14,0.86,0.0,37
BBCWorld,2018-09-28 18:23:48+00:00,Malia Obama appears in New Dakotas' music video https://t.co/vNPpDsb8TP,0.0,0.0,1.0,0.0,38
BBCWorld,2018-09-28 18:23:01+00:00,RT @BBCJamesCook: BREAKING President Trump says he has no plan to replace his Supreme Court nominee but describes Brett Kavanaugh's accuser…,0.1779,0.1,0.83,0.07,39
BBCWorld,2018-09-28 18:05:15+00:00,RT @BBCBreaking: Brett Kavanaugh's nomination to US Supreme Court backed by Senate committee as discussions continue over FBI inquiry https…,0.5719,0.207,0.793,0.0,40
BBCWorld,2018-09-28 17:48:05+00:00,Turkey-Germany: Erdogan urges Merkel to extradite Gulen 'terrorists' https://t.co/GnX6A5RqsH,0.0,0.0,1.0,0.0,41
BBCWorld,2018-09-28 17:48:04+00:00,Jan Kuciak murder: Three people charged with journalist's killing https://t.co/qu0dkdEm0M,-0.8979,0.0,0.391,0.609,42
BBCWorld,2018-09-28 17:44:58+00:00,"RT @BBCBreaking: Facebook says the security flaw has been fixed and it has informed police. In a statement it says ""we have yet to determin…",0.34,0.094,0.906,0.0,43
BBCWorld,2018-09-28 17:27:52+00:00,"The moment a tsunami wave hit a coastal city in Indonesia sweeping away buildings

https://t.co/RbuTRNhXu8 https://t.co/nwCPNxALPz",0.0,0.0,1.0,0.0,44
BBCWorld,2018-09-28 17:10:20+00:00,"RT @BBCBreaking: 50 million Facebook accounts compromised, the social network says - in all, 90m accounts will have to take action https://…",0.0,0.0,1.0,0.0,45
BBCWorld,2018-09-28 17:07:57+00:00,Church sex abuse: 'I was forced to swim naked with our priest' https://t.co/qFYAilIpnk,-0.802,0.0,0.604,0.396,46
BBCWorld,2018-09-28 16:48:03+00:00,Christine Blasey Ford through the eyes of a survivor https://t.co/pXj3U2dr5g,0.3612,0.238,0.762,0.0,47
BBCWorld,2018-09-28 16:47:59+00:00,Chinese message in a bottle makes waves in Queensland https://t.co/8P6iUNbWip,0.0,0.0,1.0,0.0,48
BBCWorld,2018-09-28 16:45:19+00:00,#KavanaughHearings: Five things you may have missed https://t.co/cZiP7KGe36,-0.296,0.0,0.761,0.239,49
BBCWorld,2018-09-28 14:33:52+00:00,"Denmark police continue major manhunt as bridges reopen
https://t.co/VvtZbPPK5Q",0.0,0.0,1.0,0.0,50
BBCWorld,2018-09-28 14:19:05+00:00,Chile abuse priest Fernando Karadima removed by Vatican https://t.co/cgBsQcaEzo,-0.6369,0.0,0.656,0.344,51
BBCWorld,2018-09-28 14:16:06+00:00,"Brett Kavanaugh: Senate Judiciary Committee to vote on Supreme Court nominee at 1330 EST (1830 BST)

Follow live up… https://t.co/5dPRaE9R5z",0.5574,0.159,0.841,0.0,52
BBCWorld,2018-09-28 14:11:18+00:00,Tsunami hits Indonesia's Palu after strong earthquake https://t.co/gdC9SlLXpi,0.5106,0.32,0.68,0.0,53
BBCWorld,2018-09-28 14:08:40+00:00,"""In 25 years... I have never seen a nominee for any position behave in that manner"" - Democrat Senator Dianne Feins… https://t.co/W4wD1TTPEQ",0.0,0.0,1.0,0.0,54
BBCWorld,2018-09-28 14:02:55+00:00,"RT @awzurcher: Ranking Democrat Dianne Feinstein now reading her statement, but several junior Democratic senators have already left the he…",0.0,0.0,1.0,0.0,55
BBCWorld,2018-09-28 14:02:20+00:00,Autopsy on Coptic Christian monk shows signs of poisoning https://t.co/efxdxxIhnI,-0.5859,0.0,0.703,0.297,56
BBCWorld,2018-09-28 14:00:11+00:00,#KavanaughHearings: Some Democratic senators leave the room as Senate Judiciary Committee chairman Chuck Grassley m… https://t.co/SdXVNd8kMd,-0.0516,0.0,0.926,0.074,57
